a	?:en
barman	?:barman
barn	?:stand
barometer	?:baromètre
baron	?:baron
baroness	?:baronne
barony	?:baronnie
baroque	?:baroque
barque	?:barque
barrack	?:baraque
barracks	?:caserne
barrel	?:tube
barricade	?:barricade
barrier	?:bar
barrister	?:avocat
bartender	?:barman
bartolomew	?:Barthélemy
basalt	?:basalte
base	?:lâche
baseball	?:base‐ball
basement	?:cave
basic	?:basique
basil	?:basilic
basilica	?:basilique
basin	?:bassin
basket	?:panier
basketball	?:basket‐ball
basque	?:Basque
bass	?:perche
bast	?:liber
bastard	?:bâtard
bastion	?:bastion
bat	?:chauve‐souris
batavian	?:Batave
bath	?:bain
bathe	?:baigner
bathroom	?:piscine
batik	?:batiker
batiste	?:batiste
baton	?:bâton
battery	?:batterie
battle	?:combat
battlefront	?:front
bauxite	?:bauxite
bavaria	?:Bavière
bavarian	?:Bavarois
bawdy	?:bordel
bay	?:baie
bayonet	?:baïonnette
bazaar	?:marché
bazooka	?:bazooka
beach	?:plage
bead	?:perle
beak	?:bec
beam	?:rayon
bean	?:fève
bear	?:produire
beard	?:barbe
bearded	?:barbu
beast	?:animal
beat	?:battre
beautiful	?:beau
beauty	?:beauté
beaver	?:castor
because	?:comme
become	?:devenir
becoming	?:raisonnable
bed	?:lit
bedbug	?:punaise
bedouin	?:Bédouin
bedroom	?:chambre à coucher
bee	?:abeille
beech	?:hêtre
beef	?:bœuf
beefsteak	?:bifteck
beehive	?:ruche
beer	?:bière
beeswax	?:cire d'abeilles
beet	?:betterave
beetle	?:scarabée
befit	?:être décent
befog	?:rendre trouble
before	?:avant
beg	?:demander
beget	?:engendrer
beggar	?:mendiant
begin	?:commencer
beginning	?:début
begonia	?:bégonia
begrudge	?:regretter
beguinage	?:béguinage
beguine	?:béguine
behave	?:se conduire
behavior	?:procédé
behaviour	?:procédé
behind	?:après
behold	?:voilà
beige	?:beige
belch	?:roter
belgian	?:Belge
belgium	?:Belgique
belgrade	?:Belgrade
belief	?:foi
believe	?:croire
bell	?:cloche
belladonna	?:belladone
belly	?:ventre
below	?:sous
belt	?:ceinture
