woordenboek	n:dictionary
ex	n:ex
cornflakes	n:corn flakes
bes	n:berry
poker	n:poker|v:imperative
wiegen	v:to rock
wieg	n:cradle|v:imperative
gelderland	n:Gelderland
groningen	n:Groningen
overijssel	n:Overijssel
utrecht	n:Utrecht
zeeland	n:Zeeland
turf	n:peat|v:imperative
clitoris	n:clitoris
snooker	n:snooker
pool	n:magnetic pole
log	n:falsehood|adj:lumbering
pachinko	n:pachinko
recent	adj:recent
aal	n:eel (fish)
pater	n:father
frater	n:a twite
ros	n:horse|adj:of an impure red color
nix	n:nix
gast	n:guest|v:plural imperative
coyote	n:coyote
skunk	n:skunk
ska	n:ska
pudding	n:pudding
blad	n:a leaf
chickasaw	n:Chickasaw
malayalam	n:Malayalam
mohawk	n:the Mohawk people
punjabi	n:Punjabi|adj:Punjabi
quechua	n:Quechua
shona	n:Shona
tamil	n:Tamil
urdu	n:Urdu
vlaams	n:Flemish|adj:Flemish
appendix	n:an appendix
bureau	n:desk
corpus	n:a collection of writings
scenario	n:scenario
truck	n:truck
label	n:quality label
mango	n:mango
curry	n:a curry dish
loo	n:a clearing in a forest
killer	adj:comparative degree of kil
kalt	v:plural imperative
lust	n:lust|v:imperative
tarantula	n:synonym of vogelspin
trucker	n:trucker
datum	n:date
ee	n:a law or rule
focus	n:focus
fungus	n:fungus
medium	n:means|adj:of medium size
stimulus	n:stimulus
vita	n:vita
juni	n:June
juli	n:July
pons	n:punch
christus	n:Christ
opus	n:opus
homo	n:gay
paar	n:pair|v:imperative
hippie	n:hippie
wen	v:imperative|adv:when|?:if
tram	n:a tram
trailer	n:trailer
venus	n:Venus
verbum	n:verb
via	prep:via
veto	n:veto
vermis	v:imperative
anaconda	n:anaconda
barg	n:barrow
berg	n:mountain|v:imperative
zona	n:shingles
marcus	n:Mark
metropolis	n:metropolis
kleur	n:a color|v:imperative
top	n:top|v:imperative|adj:great
topje	n:top
placebo	n:placebo
tsarina	n:tsarina
ton	n:barrel
nudist	n:a nudist
neger	n:a black person
nie	adv:never
brandstof	n:fuel
direct	adj:direct|adv:immediately
oase	n:oasis
rad	n:wheel|adj:quick
rand	n:edge
recht	n:a right|v:imperative|adj:straight
rechts	adj:right|adv:on the right
moment	n:moment
rob	n:seal
eskimo	n:Eskimo
hymne	n:song of praise
kunnen	v:to be possible
nee	?:no
neen	?:no
lofzang	n:song of praise
passer	n:compass
nerd	n:nerd
job	n:job
smog	n:smog
semester	n:semester
trimester	n:trimester
per	prep:for each
corps	n:student society
ja	n:yes|adv:yes|?:yes!
auto	n:car
cherokee	n:the Cherokee language
auto-	?:auto-
sedan	n:sedan
saloon	n:saloon
best	n:old woman|adj:best|adv:quite
pyro-	?:pyro
fuga	n:fugue
arme	adj:plural attributive
lid	n:member
dragon	n:tarragon
centaur	n:centaur
