a	?:een
lath	?:lat
lathe	?:draaibank
lather	?:sop
latrine	?:latrine
laud	?:roemen
laugh	?:lachen
laughter	?:gelach
launch	?:van stapel laten lopen
laundress	?:wasvrouw
laundry	?:wasserĳ
laurel	?:laurier
lava	?:lava
lavender	?:lavendel
law	?:recht
lawless	?:ongebreideld
lawn	?:gazon
lawrencium	?:lawrencium
lawsuit	?:proces
lawyer	?:jurist
laxative	?:laxeermiddel
lay	?:neerleggen
layer	?:laag
layman	?:leek
laziness	?:luiheid
lazy	?:lui
lead	?:brengen
leader	?:leider
leading	?:toonaangevend
leaf	?:blad
leaflet	?:brochure
league	?:bond
lean	?:steunen
leap	?:springen
learn	?:leren
learned	?:geleerd
learnt	?:aangeleerd
lease	?:huurcontract
least	?:minste
leasurely	?:langzaam
leather	?:leren
leave	?:laten
leaven	?:gist
leavings	?:afval
lectern	?:lessenaar
lector	?:lector
lecture	?:college
lecturer	?:lector
leech	?:bloedzuiger
leek	?:look
left	?:over
leg	?:been
legal	?:legaal
legation	?:legatie
legend	?:legende
legendary	?:legendarisch
legging	?:beenkap
legible	?:leesbaar
legion	?:legioen
legitimize	?:legitimeren
leisurely	?:rustig
leitmotif	?:Leitmotiv
lemming	?:lemming
lemon	?:citroen
lemonade	?:limonade
lend	?:lenen aan
length	?:lengte
lengthen	?:uitleggen
lengthwise	?:in de lengte
leniency	?:zachtheid
lenient	?:lankmoedig
lens	?:lens
lentil	?:linze
leopard	?:luipaard
leper	?:melaatse
leprosy	?:lepra
less	?:minder
lessen	?:verminderen
lesson	?:les
let	?:laten schieten
lethargy	?:doffe onverschilligheid
letter	?:letter
letterbox	?:bus
lettuce	?:sla
level	?:plan
lever	?:ophalen
lewd	?:onkuis
lewdly	?:onkuis
liberal	?:liberaal
librarian	?:bibliothecaris
library	?:bibliotheek
licence	?:vergunning
license	?:licentie
licentious	?:ongebreideld
lick	?:likken
lid	?:omslag
lie	?:liggen
lieutenant	?:luitenant
life	?:leven
lifebelt	?:reddingsgordel
lifeless	?:saai
lift	?:ophalen
ligament	?:band
ligature	?:afbinden
light	?:klaar
lighten	?:flitsen
lighter	?:aansteker
lighthouse	?:vuurtoren
lighting	?:belichting
lightly	?:zwak
lightning	?:bliksem
likable	?:waard om van
like	?:zoals
likely	?:waarschĳnlĳk
likewise	?:ook
lilac	?:sering
lily	?:lelie
limb	?:lid
lime	?:linden‐
limit	?:grens
limitation	?:beperking
limited	?:beperkt
limp	?:trekken
line	?:schreef
lineage	?:afkomst
linen	?:doek
lingo	?:Bargoens
linguist	?:taalkundige
linguistic	?:taalkundig
lining	?:voering
link	?:zetten
linker	?:linker
linoleum	?:linoleum
lion	?:leeuw
lip	?:lip
liqueur	?:likeur
liquid	?:dun
liquidate	?:doden
liquor	?:alcohol
lira	?:lire
lisp	?:lispelen
list	?:rol
listen	?:luisteren
listener	?:luisteraar
litany	?:litanie
liter	?:liter
literal	?:woordelĳk
literary	?:literair
literature	?:literatuur
lithium	?:lithium
litigate	?:procederen
litre	?:liter
litter	?:baar
little	?:weinig
liturgy	?:liturgie
live	?:leven
lively	?:pittig
liver	?:lever
livestock	?:vee
lizard	?:hagedis
load	?:last
loaf	?:brood
loafer	?:sjap
loan	?:lenen
loathe	?:verafschuwen
lobster	?:kreeft
local	?:lokaal
locate	?:plaatsen
location	?:plaats
loch	?:meer
lock	?:sluiten
locked	?:afgesloten
locksmith	?:slotenmaker
locomotive	?:motorisch
locust	?:sprinkhaan
lofty	?:hoog
logic	?:logica
logical	?:logisch
loin	?:kruis
lonely	?:eenzaam
long	?:lang
longan	?:longan
longboat	?:barkas
longing	?:verlangen
longitude	?:lengte
look	?:hier
loom	?:weefgetouw
loop	?:steek
loopy	?:getikt
loose	?:los
lord	?:heer
lorry	?:vrachtwagen
lose	?:verliezen
loss	?:schade
lost	?:verloren
lot	?:perceel
lottery	?:verloting
lotus	?:lotus
loud	?:hard
loudly	?:luid
lounge	?:zaal
louse	?:luis
lovable	?:lief
love	?:houden van
loved	?:geliefd
lovely	?:net
lover	?:vriend
loving	?:liefhebbend
low	?:laag
lower	?:laten zakken
lowering	?:verlaging
loyal	?:trouw
luck	?:kans
luggage	?:bagage
lukewarm	?:lauw
lull	?:wiegen
lullaby	?:wiegelied
lump	?:stuk
lunacy	?:waanzin
lunar	?:maan‐
lunatic	?:gek
lunch	?:twaalfuurtje
lung	?:long
lungwort	?:longkruid
lupine	?:lupine
lure	?:lokken
lurid	?:sensationeel
lust	?:passie
lute	?:luit
lutetium	?:lutecium
luxurious	?:luxueus
luxury	?:luxe
lyceum	?:lyceum
lye	?:loog
lynx	?:los
lyre	?:lier
lyric	?:tekst
macabre	?:griezelig
macaroni	?:macaroni
macaw	?:ara
mach	?:mach
machine	?:machine
machinery	?:machinerieën
mackerel	?:makreel
mad	?:gek
madam	?:mevrouw
madness	?:waanzin
maestro	?:meester
magazine	?:krant
magic	?:tover‐
magical	?:magisch
magician	?:tovenaar
magnanimous	?:edelmoedig
magnesium	?:magnesium
magnet	?:magneet
magnetic	?:magnetisch
magnetism	?:magnetisme
magnetize	?:magnetiseren
magnificent	?:groots
magpie	?:ekster
maid	?:meid
maidenhair	?:haarmos
mail	?:post
mailbox	?:bus
mailman	?:postbode
main	?:hoofd‐
mainland	?:vasteland
mainly	?:inzonderheid
maintain	?:bergen
maintenance	?:handhaving
maize	?:mais
majestic	?:verheven
majesty	?:majesteit
major	?:hoofd‐
majoram	?:marjolein
majority	?:merendeel
make	?:doen
making	?:gedoe
malaria	?:malaria
male	?:mannetje
malfunction	?:stuk gaan
malicious	?:vals
mallet	?:droef
mallow	?:malva
malt	?:mout
mam	?:ma
mammal	?:zoogdier
mammy	?:ma
man	?:man
mana	?:mana
manage	?:richten
manageability	?:volgzaamheid
manageable	?:handelbaar
management	?:bestuur
manager	?:directeur
mandate	?:mandaat
maneuver	?:manoeuvre
manganese	?:mangaan
manger	?:bak
mango	?:mango
